Node ID,Community ID,Degree,Betweeness,Eigenvector,Laplacian,Harmonic,Load
0,7,0.03727549983056591,0.0001472597641458141,0.05011833564325886,0.0021943447112247145,1238.0499999999838,0.00011970352764106187
1,7,0.037953236191121655,0.00012334565623830991,0.05237861078152036,0.0022701369463383426,1227.2166666666487,0.00010786167505467029
2,7,0.035920027109454425,0.0005599770554947403,0.03300839515950973,0.0018981059751447971,1267.0999999999883,0.0005514602857441328
3,5,0.0057607590647238225,1.925260910446126e-05,0.0013154280063945448,0.00015741464215738744,1068.959523809549,2.5736331402975163e-05
4,3,0.02982039986445273,0.000463676317100383,0.015175436385861272,0.001447972700714944,1269.8166666666475,0.0004935457365728198
5,3,0.04913588614029143,0.0020603525469995213,0.014502077825115136,0.0025118140733972295,1328.1166666666436,0.0020205242695803725
6,3,0.007455099966113182,2.7744960644500336e-05,0.001964198665639225,0.0002405770946183154,1101.5500000000154,2.9983771646337303e-05
7,-1,0.015249068112504236,0.00024487301521186464,0.0025195164961272546,0.00046476370588148156,1159.409523809532,0.0002730882491140045
8,5,0.011521518129447645,0.00011796755985383887,0.0025995010017685186,0.0003510203515899635,1138.8666666666752,0.00013962816121561734
9,5,0.021348695357505932,0.0006567452505718784,0.004033438121690205,0.0006645295969780198,1190.7166666666653,0.00070130741779107
10,-1,0.037953236191121655,0.0012342715168183656,0.017567907816617146,0.0017985530393291298,1312.366666666649,0.0012049334146910697
11,3,0.03320908166723145,0.0012964796430107344,0.00863760585075912,0.0014275120973315455,1288.7166666666512,0.0013055090122306345
12,9,0.0020332090816672314,3.690902074561338e-06,9.695955901440767e-05,2.3430690970666942e-05,859.721428571445,1.5160864579443847e-05
13,9,0.0023720772619451034,2.1113050364861856e-07,7.057641994156558e-05,2.4310716923451854e-05,792.9130952381024,7.07300108820004e-07
14,9,0.009488309047780414,0.0008442235266362907,0.0008431587863887036,0.0001635748238217594,1037.4261904762284,0.0009127511412885327
15,9,0.010166045408336159,0.0003028899091908891,0.0011931038383797214,0.00020075592029188453,1029.042857142893,0.0003557446323821284
16,4,0.007116231785835311,3.7928763687542053e-06,0.0021468214814085416,0.0002844683889727908,1090.216666666684,4.012074342023098e-06
17,4,0.027448322602507628,0.0003847505507902126,0.006614272158905908,0.0010772617684499614,1204.9833333333233,0.00037560959080925607
18,-1,0.061674008810572695,0.004239791841512071,0.014687525922196786,0.0032985572744538188,1333.8499999999822,0.0042326569615133616
19,-1,0.021348695357505932,0.0002654498427199073,0.012876761062268182,0.0008839860687485528,1199.0499999999913,0.0002855046727494918
20,4,0.030837004405286347,0.00026198832367607764,0.00839765330302055,0.0012898980390927631,1210.183333333323,0.00025015777700135126
21,2,0.004405286343612335,1.6684290219897283e-05,0.0005844404931808754,6.798200478911634e-05,988.750000000033,2.7144169871444747e-05
22,2,0.004744154523890207,0.0007791456618041029,0.0005053939242560497,5.511162524264797e-05,979.8500000000322,0.0008606025757270273
23,4,0.008132836326668925,7.262856828606295e-05,0.0015848504267714297,0.0002377170102742232,1116.1261904762034,8.598311795320538e-05
24,-1,0.005421890884445951,1.7879225477863752e-05,0.0014182573956011166,0.0001518044767131987,1068.6095238095477,2.5398437997905316e-05
